,btc_price,btc_holdings,mstr_prc_adj,shares,debt_total_usd,rf_rate,asset_btc_usd,preferred_liq,nav_raw,nav,nav_clip,equity_value,premium,btc_per_share,is_nav_nonpositive,is_nav_tiny
2021-05-14,49841.45,91850.0,521.31,7782000.0,1754414000.0,0.0001,4577937182.5,10229353900.0,-7405830717.5,0.0,1.0,4056834419.9999995,22.123668806928908,0.011802878437419687,True,False
2021-05-15,46762.99,91850.0,521.31,7782000.0,1754414000.0,0.0001,4295180631.5,10229353900.0,-7688587268.5,0.0,1.0,4056834419.9999995,22.123668806928908,0.011802878437419687,True,False
2021-05-16,46431.5,91850.0,521.31,7782000.0,1754414000.0,0.0001,4264733275.0,10229353900.0,-7719034625.0,0.0,1.0,4056834419.9999995,22.123668806928908,0.011802878437419687,True,False
2021-05-17,43538.04,91850.0,489.35,7782000.0,1754414000.0,0.0002,3998968974.0,10229353900.0,-7984798926.0,0.0,1.0,3808121700.0,22.060401912398465,0.011802878437419687,True,False
2021-05-18,42849.78,92079.0,487.2,7782000.0,1754414000.0,0.0002,3945564892.62,10229353900.0,-8038203007.38,0.0,1.0,3791390400.0,22.055998648922323,0.01183230531996916,True,False
2021-05-19,36690.09,92079.0,454.86,7782000.0,1754414000.0,0.0001,3378386797.1099997,10229353900.0,-8605381102.89,0.0,1.0,3539720520.0,21.987313611822902,0.01183230531996916,True,False
2021-05-20,40526.64,92079.0,472.66,7782000.0,1754414000.0,0.0001,3731652484.56,10229353900.0,-8252115415.440001,0.0,1.0,3678240120.0,22.025700246478777,0.01183230531996916,True,False
2021-05-21,37252.01,92079.0,450.52,7782000.0,1754414000.0,0.0001,3430127828.79,10229353900.0,-8553640071.21,0.0,1.0,3505946640.0,21.977726403706132,0.01183230531996916,True,False
2021-05-22,37449.73,92079.0,450.52,7782000.0,1754414000.0,0.0001,3448333688.67,10229353900.0,-8535434211.33,0.0,1.0,3505946640.0,21.977726403706132,0.01183230531996916,True,False
2021-05-23,34655.25,92079.0,450.52,7782000.0,1754414000.0,0.0001,3191020764.75,10229353900.0,-8792747135.25,0.0,1.0,3505946640.0,21.977726403706132,0.01183230531996916,True,False
2021-05-24,38796.29,92079.0,472.45,7782000.0,1754414000.0,0.0002,3572323586.91,10229353900.0,-8411444313.09,0.0,1.0,3676605900.0,22.025255853755272,0.01183230531996916,True,False
2021-05-25,38324.72,92079.0,469.67,7782000.0,1754414000.0,0.0002,3528901892.88,10229353900.0,-8454866007.12,0.0,1.0,3654971940.0,22.0193542529641,0.01183230531996916,True,False
2021-05-26,39241.91,92079.0,482.79,7782000.0,1754414000.0,0.0002,3613355830.8900003,10229353900.0,-8370412069.11,0.0,1.0,3757071780.0,22.04690570902515,0.01183230531996916,True,False
2021-05-27,38529.98,92079.0,493.85,7782000.0,1754414000.0,0.0002,3547802028.42,10229353900.0,-8435965871.58,0.0,1.0,3843140700.0,22.06955575988077,0.01183230531996916,True,False
2021-05-28,35663.49,92079.0,470.0,7782000.0,1754414000.0,0.0001,3283858495.71,10229353900.0,-8699909404.29,0.0,1.0,3657540000.0,22.02005662723074,0.01183230531996916,True,False
2021-05-29,34605.15,92079.0,470.0,7782000.0,1754414000.0,0.0001,3186407606.85,10229353900.0,-8797360293.15,0.0,1.0,3657540000.0,22.02005662723074,0.01183230531996916,True,False
2021-05-30,35641.27,92079.0,470.0,7782000.0,1754414000.0,0.0001,3281812500.33,10229353900.0,-8701955399.67,0.0,1.0,3657540000.0,22.02005662723074,0.01183230531996916,True,False
2021-05-31,37253.81,92079.0,470.0,7782000.0,1754414000.0,0.0001,3430293570.99,10229353900.0,-8553474329.01,0.0,1.0,3657540000.0,22.02005662723074,0.01183230531996916,True,False
2021-06-01,36693.09,92079.0,477.76,7782000.0,1754414000.0,0.0002,3378663034.1099997,10229353900.0,-8605104865.89,0.0,1.0,3717928320.0,22.036432446877463,0.01183230531996916,True,False
2021-06-02,37568.68,92079.0,498.5,7782000.0,1754414000.0,0.0002,3459286485.72,10229353900.0,-8524481414.280001,0.0,1.0,3879327000.0,22.078927521928527,0.01183230531996916,True,False
2021-06-03,39246.79,92079.0,488.64,7782000.0,1754414000.0,0.0002,3613805176.41,10229353900.0,-8369962723.59,0.0,1.0,3802596480.0,22.058949954556905,0.01183230531996916,True,False
2021-06-04,36829.0,92079.0,484.67,7782000.0,1754414000.0,0.0002,3391177491.0,10229353900.0,-8592590409.0,0.0,1.0,3771701940.0,22.050792179507432,0.01183230531996916,True,False
2021-06-05,35513.2,92079.0,484.67,7782000.0,1754414000.0,0.0002,3270019942.7999997,10229353900.0,-8713747957.2,0.0,1.0,3771701940.0,22.050792179507432,0.01183230531996916,True,False
2021-06-06,35796.31,92079.0,484.67,7782000.0,1754414000.0,0.0002,3296088428.49,10229353900.0,-8687679471.51,0.0,1.0,3771701940.0,22.050792179507432,0.01183230531996916,True,False
2021-06-07,33552.79,92079.0,469.81,7782000.0,1754414000.0,0.0002,3089507350.41,10229353900.0,-8894260549.59,0.0,1.0,3656061420.0,22.01965229017838,0.01183230531996916,True,False
2021-06-08,33380.81,92079.0,459.38,7782000.0,1754414000.0,0.0002,3073671603.99,10229353900.0,-8910096296.01,0.0,1.0,3574895160.0,21.997201686788245,0.01183230531996916,True,False
2021-06-09,37388.05,92079.0,512.99,7782000.0,1754414000.0,0.0003,3442654255.9500003,10229353900.0,-8541113644.049999,0.0,1.0,3992088180.0,22.107580284330023,0.01183230531996916,True,False
2021-06-10,36675.72,92079.0,508.65,7782000.0,1754414000.0,0.0003,3377063621.88,10229353900.0,-8606704278.119999,0.0,1.0,3958314300.0,22.099084089766393,0.01183230531996916,True,False
2021-06-11,37331.98,92079.0,516.44,7782000.0,1754414000.0,0.0003,3437491386.42,10229353900.0,-8546276513.58,0.0,1.0,4018936080.0000005,22.114283047833155,0.01183230531996916,True,False
